company,ticker,cik,cusip,,
"AARDVARK THERAPEUTICS, INC.",AARD,1774857,002942100,,
AB INTERNATIONAL GROUP CORP.,ABQQ,1605331,194693107,,
"ABACUS GLOBAL MANAGEMENT, INC.",ABL,1814287,00258y104,,
"ABACUS GLOBAL MANAGEMENT, INC.",ABLLL,1814287,00258y104,,
ABACUS MINING & EXPLORATION CORP,ABCFF,1284237,06849f108,,
ABAXX TECHNOLOGIES INC.,ABXXF,1971975,05605H100,,
ABB LTD,ABBNY,1091587,h1467j104,,
ABB LTD,ABLZF,1091587,h1467j104,,
ABBOTT LABORATORIES,ABT,1800,002824101,,
ABBVIE INC.,ABBV,1551152,00287Y109,,
ABCELLERA BIOLOGICS INC.,ABCL,1703057,00288U106,,
ABEONA THERAPEUTICS INC.,ABEO,318306,00289y206,,
ABERCROMBIE & FITCH CO /DE/,ANF,1018840,002896207,,
ABITS GROUP INC,ABTS,1864055,11040G103,,
ABIVAX S.A.,ABVX,1956827,00370M103,,
ABIVAX S.A.,AAVXF,1956827,00370M103,,
ABLE VIEW GLOBAL INC.,ABLV,1957489,60741F104,,
ABLE VIEW GLOBAL INC.,ABLVW,1957489,60741F104,,
ABM INDUSTRIES INC /DE/,ABM,771497,26929N102,,
ABOVE FOOD INGREDIENTS INC.,ABVE,1979484,00373V100,,
ABOVE FOOD INGREDIENTS INC.,ABVEW,1979484,00373V100,,
"ABPRO HOLDINGS, INC.",ABP,1893219,000847103,,
"ABPRO HOLDINGS, INC.",ABPWW,1893219,000847103,,
"ABRDN ASIA-PACIFIC INCOME FUND, INC.",FAX,790500,003009867,,
"ABRDN ASIA-PACIFIC INCOME FUND, INC.",ABAKF,790500,003009867,,
"ABRDN AUSTRALIA EQUITY FUND, INC.",IAF,779336,003011103,,
"ABRDN EMERGING MARKETS EX-CHINA FUND, INC.",AEF,846676,00301W105,,
ABRDN GLOBAL DYNAMIC DIVIDEND FUND,AGD,1362481,00302M106,,
"ABRDN GLOBAL INCOME FUND, INC.",FCO,876717,003013109,,
ABRDN GLOBAL INFRASTRUCTURE INCOME FUND,ASGI,1793855,00326W106,,
ABRDN GLOBAL PREMIER PROPERTIES FUND,AWP,1390195,00302L108,,
ABRDN GOLD ETF TRUST,SGOL,1450923,389637109,,
ABRDN HEALTHCARE INVESTORS,HQH,805267,87911J103,,
ABRDN HEALTHCARE OPPORTUNITIES FUND,THQ,1604522,879105104,,
ABRDN INCOME CREDIT STRATEGIES FUND,ACP,1503290,003057106,,
ABRDN INCOME CREDIT STRATEGIES FUND,ACP-PA,1503290,003057106,,
"ABRDN JAPAN EQUITY FUND, INC.",JEQ,866095,00306J109,,
ABRDN LIFE SCIENCES INVESTORS,HQL,884121,87911K100,,
ABRDN NATIONAL MUNICIPAL INCOME FUND,VFL,895574,01864u106,,
ABRDN PALLADIUM ETF TRUST,PALL,1459862,003260106,,
ABRDN PLATINUM ETF TRUST,PPLT,1460235,003260106,,
ABRDN PRECIOUS METALS BASKET ETF TRUST,GLTR,1483386,00181T907,,
ABRDN SILVER ETF TRUST,SIVR,1450922,46428Q109,,
ABRDN TOTAL DYNAMIC DIVIDEND FUND,AOD,1379400,00326L100,,
ABRDN WORLD HEALTHCARE FUND,THW,1635977,87911L108,,
ABSCI CORP,ABSI,1672688,00130H105,,
"ABVC BIOPHARMA, INC.",ABVC,1173313,00091F304,,
AC IMMUNE SA,ACIU,1651625,H00263105,,
"AC PARTNERS, INC.",ACPS,1133116,69343T107,,
ACACIA RESEARCH CORP,ACTG,934549,003881307,,
"ACADEMY SPORTS & OUTDOORS, INC.",ASO,1817358,00402L107,,
"ACADIA HEALTHCARE COMPANY, INC.",ACHC,1520697,00404A109,,
ACADIA PHARMACEUTICALS INC,ACAD,1070494,004225108,,
ACADIA REALTY TRUST,AKR,899629,004239109,,
ACADIAN ASSET MANAGEMENT INC.,AAMI,1748824,10948W903,,
"ACCEL ENTERTAINMENT, INC.",ACEL,1698991,00436Q106,,
ACCELERANT HOLDINGS,ARX,1997350,n00985106,,
ACCENTURE PLC,ACN,1467373,g1151c101,,
ACCESS NEWSWIRE INC.,ACCS,843006,26916J205,,
ACCO BRANDS CORP,ACCO,712034,00081T108,,
ACCO GROUP HOLDINGS LTD,ACCL,2038378,23304y100,,
"ACCREDITED SOLUTIONS, INC.",ASII,1464865,826598609,,
ACCURAY INC,ARAY,1138723,004397105,,
ACCUSTEM SCIENCES INC.,ACUT,1850767,14817C107,,
"ACHIEVE LIFE SCIENCES, INC.",ACHV,949858,004468500,,
"ACI WORLDWIDE, INC.",ACIW,935036,004498101,,
"ACLARION, INC.",ACON,1635077,655187409,,
"ACLARION, INC.",ACONW,1635077,655187409,,
"ACLARIS THERAPEUTICS, INC.",ACRS,1557746,00461U105,,
"ACM RESEARCH, INC.",ACMR,1680062,00108J109,,
ACME UNITED CORP,ACU,2098,004816104,,
ACNB CORP,ACNB,715579,000868109,,
"ACORN ENERGY, INC.",ACFN,880984,12662P108,,
ACRES COMMERCIAL REALTY CORP.,ACR,1332551,00489Q102,,
ACRES COMMERCIAL REALTY CORP.,ACR-PC,1332551,00489Q102,,
ACRES COMMERCIAL REALTY CORP.,ACR-PD,1332551,00489Q102,,
"ACRIVON THERAPEUTICS, INC.",ACRV,1781174,004890109,,
"ACRO BIOMEDICAL CO., LTD.",ACBM,1622996,74449F308,,
ACTELIS NETWORKS INC,ASNS,1141284,00503R409,,
"ACTINIUM PHARMACEUTICALS, INC.",ATNM,1388320,00507W206,,
"ACTUATE THERAPEUTICS, INC.",ACTU,1652935,005083100,,
ACUITY INC. (DE),AYI,1144215,00508Y102,,
"ACUMEN PHARMACEUTICALS, INC.",ABOS,1576885,00509G209,,
ACUREN CORP,TIC,2032966,00510N102,,
ACUREN CORP,TICAW,2032966,00510N102,,
"ACURX PHARMACEUTICALS, INC.",ACXP,1736243,00510M104,,
ACUSHNET HOLDINGS CORP.,GOLF,1672013,005098108,,
ACV AUCTIONS INC.,ACVA,1637873,00091g104,,
ADAGENE INC.,ADAG,1818838,031162100,,
"ADAGIO MEDICAL HOLDINGS, INC.",ADGM,2006986,00534B100,,
ADAMANT DRI PROCESSING & MINERALS GROUP,ADMG,1171008,053015103,,
"ADAMAS TRUST, INC.",ADAM,1273685,758075402,,
"ADAMAS TRUST, INC.",ADAMG,1273685,758075402,,
"ADAMAS TRUST, INC.",ADAMH,1273685,758075402,,
"ADAMAS TRUST, INC.",ADAMI,1273685,758075402,,
"ADAMAS TRUST, INC.",ADAML,1273685,758075402,,
"ADAMAS TRUST, INC.",ADAMM,1273685,758075402,,
"ADAMAS TRUST, INC.",ADAMN,1273685,758075402,,
"ADAMAS TRUST, INC.",ADAMZ,1273685,758075402,,
"ADAMS DIVERSIFIED EQUITY FUND, INC.",ADX,2230,006212104,,
"ADAMS NATURAL RESOURCES FUND, INC.",PEO,216851,00548F105,,
ADAPTHEALTH CORP.,AHCO,1725255,00653q102,,
"ADAPTI, INC.",ADTI,1420924,01741R102,,
ADAPTIMMUNE THERAPEUTICS PLC,ADAP,1621227,00653A107,,
ADAPTIVE BIOTECHNOLOGIES CORP,ADPT,1478320,00650f109,,
ADARO ENERGY PT/ADR/,ADOOY,1489079,87807B107,,
ADARO ENERGY PT/ADR/,PADEF,1489079,87807B107,,
ADASTRA HOLDINGS LTD.,XTXXF,1891512,26853E102,,
ADC THERAPEUTICS SA,ADCT,1771910,89854M101,,
ADDENTAX GROUP CORP.,ATXG,1650101,00653L301,,
ADDEX THERAPEUTICS LTD.,ADXN,1574232,00654J206,,
ADDUS HOMECARE CORP,ADUS,1468328,006739106,,
ADECOAGRO S.A.,AGRO,1499505,L00849906,,
ADEIA INC.,ADEA,1803696,00676P107,,
"ADIA NUTRITION, INC.",ADIA,1160420,22528W205,,
"ADIAL PHARMACEUTICALS, INC.",ADIL,1513525,00688A205,,
"ADICET BIO, INC.",ACET,1720580,007002908,,
ADIENT PLC,ADNT,1670541,G0084W101,,
"ADITXT, INC.",ADTX,1726711,007025802,,
ADLAI NORTYE LTD.,ANL,1944552,020772109,,
"ADM ENDEAVORS, INC.",ADMQ,1588014,034164103,,
"ADM TRONICS UNLIMITED, INC.",ADMT,849401,911363109,,
"ADMA BIOLOGICS, INC.",ADMA,1368514,000899904,,
ADOBE INC.,ADBE,796343,00724F101,,
ADS-TEC ENERGY PUBLIC LTD CO,ADSE,1879248,G0085J117,,
ADS-TEC ENERGY PUBLIC LTD CO,ADSEW,1879248,G0085J117,,
ADT INC.,ADT,1703056,00246W103,,
ADTALEM GLOBAL EDUCATION INC.,ATGE,730464,251893103,,
"ADTRAN HOLDINGS, INC.",ADTN,926282,00486H905,,
ADURO CLEAN TECHNOLOGIES INC.,ADUR,1863934,007408206,,
ADVANCE AUTO PARTS INC,AAP,1158449,00751Y106,,
ADVANCED BIOMED INC.,ADVB,1941029,00752P104,,
"ADVANCED DRAINAGE SYSTEMS, INC.",WMS,1604028,00790r104,,
ADVANCED ENERGY INDUSTRIES INC,AEIS,927003,007973100,,
ADVANCED FLOWER CAPITAL INC.,AFCG,1822523,00109K105,,
ADVANCED MICRO DEVICES INC,AMD,2488,007903107,,
ADVANCED OXYGEN TECHNOLOGIES INC,AOXY,352991,630402105,,
ADVANSIX INC.,ASIX,1673985,00773T101,,
ADVANTAGE SOLUTIONS INC.,ADV,1776661,00791N102,,
ADVANTAGE SOLUTIONS INC.,ADVWW,1776661,00791N102,,
ADVANTEST CORP,ATEYY,1158838,J00210914,,
ADVANTEST CORP,ADTTF,1158838,J00210914,,
ADVENT CONVERTIBLE & INCOME FUND,AVK,1219120,00764C109,,
"ADVENT TECHNOLOGIES HOLDINGS, INC.",ADN,1744494,000304105,,
"ADVENT TECHNOLOGIES HOLDINGS, INC.",ADNWW,1744494,000304105,,
"ADVERUM BIOTECHNOLOGIES, INC.",ADVM,1501756,00773U207,,
ADYEN N.V./ADR,ADYYF,1788707,00783v104,,
AEBI SCHMIDT HOLDING AG,AEBI,2048519,H00501108,,
AECOM,ACM,868857,00766T100,,
AECON GROUP INC.,AEGXF,1309167,29084Q100,,
AEGON LTD.,AEG,769218,g0176j109,,
AEGON LTD.,AEGOF,769218,g0176j109,,
AEGON LTD.,AEFC,769218,g0176j109,,
AEHR TEST SYSTEMS,AEHR,1040470,00760J108,,
AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP,XXAAU,931755,886315761,,
AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,XAEIU,1023458,886315761,,
"AELUMA, INC.",ALMU,1828805,00776X109,,
"AEMETIS, INC",AMTX,738214,00770K202,,
AENA S.A./ADR,ANNSF,1700171,26874R108,,
"AEON BIOPHARMA, INC.",AEON,1837607,04272N102,,
AERCAP HOLDINGS N.V.,AER,1378789,N00985106,,
"AERIES TECHNOLOGY, INC.",AERT,1853044,G0136H102,,
"AERIES TECHNOLOGY, INC.",AERTW,1853044,G0136H102,,
AERO ENERGY LTD,AAUGF,1905688,46500E867,,
AEROVIRONMENT INC,AVAV,1368622,008073108,,
AERSALE CORP,ASLE,1754170,00130H105,,
AES CORP,AES,874761,00130H105,,
AESTHETIC MEDICAL INTERNATIONAL HOLDINGS GROUP LTD,PAIYY,1757143,026874784,,
"AETHER HOLDINGS, INC.",ATHR,2026353,42704l104,,
AETHLON MEDICAL INC,AEMD,882291,05380C102,,
"AEVA TECHNOLOGIES, INC.",AEVA,1789029,00835Q202,,
"AEVA TECHNOLOGIES, INC.",AEVAW,1789029,00835Q202,,
"AEYE, INC.",LIDR,1818644,124765108,,
"AEYE, INC.",LIDRW,1818644,124765108,,
AFB LTD,AFBL,1995648,Y2990R101,,
"AFFILIATED MANAGERS GROUP, INC.",AMG,1004434,008252108,,
"AFFILIATED MANAGERS GROUP, INC.",MGR,1004434,008252108,,
"AFFILIATED MANAGERS GROUP, INC.",MGRB,1004434,008252108,,
"AFFILIATED MANAGERS GROUP, INC.",MGRD,1004434,008252108,,
"AFFILIATED MANAGERS GROUP, INC.",MGRE,1004434,008252108,,
"AFFINITY BANCSHARES, INC.",AFBI,1823406,00832E103,,
"AFFIRM HOLDINGS, INC.",AFRM,1820953,00827B106,,
AFLAC INC,AFL,4977,001055102,,
AFYA LTD,AFYA,1771007,Y2990R101,,
"AG MORTGAGE INVESTMENT TRUST, INC.",MITT,1514281,33734E103,,
"AG MORTGAGE INVESTMENT TRUST, INC.",MITT-PA,1514281,33734E103,,
"AG MORTGAGE INVESTMENT TRUST, INC.",MITT-PB,1514281,33734E103,,
"AG MORTGAGE INVESTMENT TRUST, INC.",MITN,1514281,33734E103,,
"AG MORTGAGE INVESTMENT TRUST, INC.",MITP,1514281,33734E103,,
"AG MORTGAGE INVESTMENT TRUST, INC.",MITT-PC,1514281,33734E103,,
AGAPE ATP CORP,ATPC,1713210,008389207,,
AGASSI SPORTS ENTERTAINMENT CORP.,AASP,930245,855919106,,
AGCO CORP /DE,AGCO,880266,001084102,,
AGEAGLE AERIAL SYSTEMS INC.,UAVS,8504,45245S108,,
AGENCIA COMERCIAL SPIRITS LTD.,AGCC,2060016,008474108,,
AGENTIX CORP.,AGTX,1603345,20602D101,,
AGENUS INC,AGEN,1098972,00847G804,,
"AGILENT TECHNOLOGIES, INC.",A,1090872,00846U101,,
"AGILON HEALTH, INC.",AGL,1831097,00857U107,,
AGILYSYS INC,AGYS,78749,00847J105,,
"AGIOS PHARMACEUTICALS, INC.",AGIO,1439222,00847X104,,
"AGM GROUP HOLDINGS, INC.",AGMH,1705402,87256c101,,
AGNC INVESTMENT CORP.,AGNC,1423689,00123Q104,,
AGNC INVESTMENT CORP.,AGNCN,1423689,00123Q104,,
AGNC INVESTMENT CORP.,AGNCM,1423689,00123Q104,,
AGNC INVESTMENT CORP.,AGNCL,1423689,00123Q104,,
AGNC INVESTMENT CORP.,AGNCO,1423689,00123Q104,,
AGNC INVESTMENT CORP.,AGNCP,1423689,00123Q104,,
AGNC INVESTMENT CORP.,AGNCZ,1423689,00123Q104,,
AGNICO EAGLE MINES LTD,AEM,2809,008474108,,
"AGORA, INC.",API,1802883,00851L103,,
AGREE REALTY CORP,ADC,917251,008492100,,
AGREE REALTY CORP,ADC-PA,917251,008492100,,
AGRICULTURE & NATURAL SOLUTIONS ACQUISITION CORP,ANSC,1854149,G0131Y100,,
AGRICULTURE & NATURAL SOLUTIONS ACQUISITION CORP,ANSCU,1854149,G0131Y100,,
AGRICULTURE & NATURAL SOLUTIONS ACQUISITION CORP,ANSCW,1854149,G0131Y100,,
AGRIFORCE GROWING SYSTEMS LTD.,AGRI,1826397,C00948205,,
AGROZ INC.,AGRZ,2009233,054748306,,
AI INFRASTRUCTURE ACQUISITION CORP.,AIIA,2073553,G9717M125,,
AIB GROUP PLC/ADR,AIBRF,1728918,00135T104,,
"AIBOTICS, INC.",AIBT,1763329,05581m404,,
AIFU INC.,AIFU,1413855,056752108,,
AIGO HOLDING LTD,AIGO,2025255,G1890L107,,
AIM IMMUNOTECH INC.,AIM,946644,00901B303,,
AIM IMMUNOTECH INC.,AIMI,946644,00901B303,,
"AIMEI HEALTH TECHNOLOGY CO., LTD.",AFJK,1979005,G01341109,,
"AIMEI HEALTH TECHNOLOGY CO., LTD.",AFJKR,1979005,G01341109,,
"AIMEI HEALTH TECHNOLOGY CO., LTD.",AFJKU,1979005,G01341109,,
AIMFINITY INVESTMENT CORP. I,AIMTF,1903464,316500107,,
AIMFINITY INVESTMENT CORP. I,AIMWF,1903464,316500107,,
AIMFINITY INVESTMENT MERGER SUB I,INKS,1997799,95766T100,,
"AINOS, INC.",AIMD,1014763,420261109,,
"AINOS, INC.",AIMDW,1014763,420261109,,
AIR INDUSTRIES GROUP,AIRI,1009891,00912N403,,
AIR LEASE CORP,AL,1487712,00912X302,,
"AIR PRODUCTS & CHEMICALS, INC.",APD,2969,009158106,,
AIR T INC,AIRT,353184,009207101,,
AIR T INC,AIRTP,353184,009207101,,
"AIRBNB, INC.",ABNB,1559720,009066101,,
AIRBUS SE/ADR,EADSF,1378580,055262505,,
AIRCASTLE LTD,AYR,1362988,Q3018U109,,
AIRGAIN INC,AIRG,1272842,00938A104,,
AIRJOULE TECHNOLOGIES CORP.,AIRJ,1855474,612160101,,
AIRJOULE TECHNOLOGIES CORP.,AIRJW,1855474,612160101,,
AIRNET TECHNOLOGY INC.,ANTE,1413745,016255101,,
"AIRO GROUP HOLDINGS, INC.",AIRO,1927958,009422106,,
"AIRSCULPT TECHNOLOGIES, INC.",AIRS,1870940,009496100,,
"AIRSHIP AI HOLDINGS, INC.",AISP,1842566,008940108,,
"AIRSHIP AI HOLDINGS, INC.",AISPW,1842566,008940108,,
"AIS HOLDINGS GROUP, INC.",AIDG,1702015,009422106,,
"AIXIN LIFE INTERNATIONAL, INC.",AIXN,835662,127190304,,
AKAMAI TECHNOLOGIES INC,AKAM,1086222,00971T101,,
AKANDA CORP.,AKAN,1888014,00971M403,,
AKARI THERAPEUTICS PLC,AKTX,1541157,00461U105,,
"AKEBIA THERAPEUTICS, INC.",AKBA,1517022,00972D105,,
"AKERO THERAPEUTICS, INC.",AKRO,1744659,00973Y108,,
AKSO HEALTH GROUP,AHG,1702318,98422P108,,
ALAMO GROUP INC,ALG,897077,011311107,,
ALAMOS GOLD INC,AGI,1178819,011532108,,
"ALARM.COM HOLDINGS, INC.",ALRM,1459200,011642105,,
ALARUM TECHNOLOGIES LTD.,ALAR,1725332,78643B500,,
"ALASKA AIR GROUP, INC.",ALK,766421,011659109,,
ALASKA SILVER CORP.,WAMFF,1893899,G81354105,,
"ALAUNOS THERAPEUTICS, INC.",TCRT,1107421,98973P309,,
ALBANY INTERNATIONAL CORP /DE/,AIN,819793,459044103,,
ALBEMARLE CORP,ALB,915913,012653101,,
ALBEMARLE CORP,ALB-PA,915913,012653101,,
"ALBERTSONS COMPANIES, INC.",ACI,1646972,013091103,,
ALCHEMY INVESTMENTS ACQUISITION CORP 1,ALCY,1901336,G0232F109,,
ALCHEMY INVESTMENTS ACQUISITION CORP 1,ALCYU,1901336,G0232F109,,
ALCHEMY INVESTMENTS ACQUISITION CORP 1,ALCYW,1901336,G0232F109,,
ALCOA CORP,AA,1675149,013872906,,
ALCON INC,ALC,1167379,H01301128,,
ALDEL FINANCIAL II INC.,ALDF,2031561,G01558108,,
ALDEL FINANCIAL II INC.,ALDFU,2031561,G01558108,,
ALDEL FINANCIAL II INC.,ALDFW,2031561,G01558108,,
"ALDEYRA THERAPEUTICS, INC.",ALDX,1341235,01438T106,,
ALE GROUP HOLDING LTD,ALEH,1806905,01609W102,,
"ALEANNA, INC.",ANNA,1845123,235825205,,
"ALEANNA, INC.",ANNAW,1845123,235825205,,
"ALECTOR, INC.",ALEC,1653087,014442107,,
ALERUS FINANCIAL CORP,ALRS,903419,01446u103,,
"ALEXANDER & BALDWIN, INC.",ALEX,1545654,014491104,,
ALEXANDERS INC,ALX,3499,034164103,,
"ALEXANDRIA REAL ESTATE EQUITIES, INC.",ARE,1035443,015271109,,
ALGERNON PHARMACEUTICALS INC.,AGNPF,1642178,28617K101,,
ALGOMA STEEL GROUP INC.,ASTL,1860805,015658907,,
ALGOMA STEEL GROUP INC.,ASTLW,1860805,015658907,,
ALGONQUIN POWER & UTILITIES CORP.,AQN,1174169,015857105,,
ALGONQUIN POWER & UTILITIES CORP.,AGQPF,1174169,015857105,,
ALGONQUIN POWER & UTILITIES CORP.,AQNB,1174169,015857105,,
"ALGORHYTHM HOLDINGS, INC.",RIME,923601,829322502,,
ALIBABA GROUP HOLDING LTD,BABA,1577552,01609W102,,
ALIBABA GROUP HOLDING LTD,BABAF,1577552,01609W102,,
ALIBABA GROUP HOLDING LTD,BBAAY,1577552,01609W102,,
"ALICO, INC.",ALCO,3545,016230104,,
"ALIGHT, INC. / DELAWARE",ALIT,1809104,01625V104,,
ALIGN TECHNOLOGY INC,ALGN,1097149,016255101,,
"ALIGNMENT HEALTHCARE, INC.",ALHC,1832466,01625V104,,
"ALIGOS THERAPEUTICS, INC.",ALGS,1799448,01626L204,,
ALITHYA GROUP INC,ALYAF,1734520,01643b106,,
ALKALINE WATER CO INC,WTER,1532390,05478C105,,
"ALKAMI TECHNOLOGY, INC.",ALKT,1529274,01644J108,,
ALKERMES PLC.,ALKS,1520262,G01767105,,
"ALL THINGS MOBILE ANALYTIC, INC.",ATMH,1484674,92345Y106,,
"ALLARITY THERAPEUTICS, INC.",ALLR,1860657,016744500,,
"ALLBIRDS, INC.",BIRD,1653909,01675A109,,
ALLEGIANT GOLD LTD,AUXXF,1725603,01748X102,,
ALLEGIANT TRAVEL CO,ALGT,1362468,01748X102,,
ALLEGION PLC,ALLE,1579241,G0176J109,,
"ALLEGRO MICROSYSTEMS, INC.",ALGM,866291,01749D105,,
ALLETE INC,ALE,66756,018522300,,
ALLIANCE ENTERTAINMENT HOLDING CORP,AENT,1823584,01881g106,,
ALLIANCE ENTERTAINMENT HOLDING CORP,AENTW,1823584,01881g106,,
ALLIANCE LAUNDRY HOLDINGS INC.,ALH,1317685,277802500,,
ALLIANCE RESOURCE PARTNERS LP,ARLP,1086600,01877R108,,
ALLIANCEBERNSTEIN GLOBAL HIGH INCOME FUND INC,AWF,906013,01879r106,,
ALLIANCEBERNSTEIN HOLDING L.P.,AB,825313,01881g106,,
ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND,AFB,1162027,01864u106,,
ALLIANT ENERGY CORP,LNT,352541,018802108,,
ALLIED CRITICAL METALS CORP.,ACMIF,2065282,03823M100,,
ALLIED GAMING & ENTERTAINMENT INC.,AGAE,1708341,019170109,,
ALLIED GOLD CORP,AAUC,1993344,01921D204,,
ALLIENT INC,ALNT,46129,019330109,,
ALLISON TRANSMISSION HOLDINGS INC,ALSN,1411207,01973R101,,
"ALLOGENE THERAPEUTICS, INC.",ALLO,1737287,019770106,,
ALLOT LTD.,ALLT,1365767,M0854Q105,,
ALLSPRING GLOBAL DIVIDEND OPPORTUNITY FUND,EOD,1386067,94987C103,,
ALLSPRING INCOME OPPORTUNITIES FUND,EAD,1210123,94987B105,,
ALLSPRING MULTI-SECTOR INCOME FUND,ERC,1227073,94987D101,,
ALLSPRING UTILITIES & HIGH INCOME FUND,ERH,1279014,94987E109,,
ALLSTATE CORP,ALL,899051,020002101,,
ALLSTATE CORP,ALL-PH,899051,020002101,,
ALLSTATE CORP,ALL-PB,899051,020002101,,
ALLSTATE CORP,ALL-PI,899051,020002101,,
ALLSTATE CORP,ALL-PJ,899051,020002101,,
"ALLURION TECHNOLOGIES, INC.",ALUR,1964979,311642102,,
"ALLURION TECHNOLOGIES, INC.",ALUR-WT,1964979,311642102,,
ALLY FINANCIAL INC.,ALLY,40729,G01558108,,
ALMADEN MINERALS LTD,AAUAF,1015647,381119403,,
ALMCO PLUMBING INC,ALMP,1956237,74467Q103,,
ALMONTY INDUSTRIES INC.,ALM,1670061,86887P309,,
"ALNYLAM PHARMACEUTICALS, INC.",ALNY,1178670,02043Q107,,
ALPHA & OMEGA SEMICONDUCTOR LTD,AOSL,1387467,G6331P104,,
ALPHA COGNITION INC.,ACOG,1655923,02074J501,,
ALPHA INVESTMENT INC.,GGBY,1616736,316500107,,
"ALPHA METALLURGICAL RESOURCES, INC.",AMR,1704715,020764106,,
"ALPHA MODUS HOLDINGS, INC.",AMOD,1862463,02081G201,,
"ALPHA MODUS HOLDINGS, INC.",AMODW,1862463,02081G201,,
ALPHA ONE INC.,AOAO,2042320,12685J105,,
ALPHA PRO TECH LTD,APT,884269,020772109,,
ALPHA STAR ACQUISITION CORP,ALSAF,1865111,G0223V105,,
ALPHA STAR ACQUISITION CORP,ALSTF,1865111,G0223V105,,
ALPHA STAR ACQUISITION CORP,ALSUF,1865111,G0223V105,,
ALPHA STAR ACQUISITION CORP,ALSWF,1865111,G0223V105,,
ALPHA TAU MEDICAL LTD.,DRTS,1871321,33734X168,,
ALPHA TAU MEDICAL LTD.,DRTSW,1871321,33734X168,,
ALPHA TECHNOLOGY GROUP LTD,ATGL,1967621,78643B500,,
"ALPHA TEKNOVA, INC.",TKNO,1850902,02080L102,,
ALPHABET INC.,GOOGL,1652044,38259p706,,
ALPHABET INC.,GOOG,1652044,38259p706,,
"ALPHATEC HOLDINGS, INC.",ATEC,1350653,02081G201,,
ALPHATIME ACQUISITION CORP,ATMC,1889106,G0223V105,,
ALPHATIME ACQUISITION CORP,ATMCR,1889106,G0223V105,,
ALPHATIME ACQUISITION CORP,ATMCU,1889106,G0223V105,,
ALPHATIME ACQUISITION CORP,ATMCW,1889106,G0223V105,,
ALPHATON CAPITAL CORP,ATON,1095435,04010L103,,
ALPHAVEST ACQUISITION CORP.,ATMV,1937891,G0223V105,,
ALPHAVEST ACQUISITION CORP.,ATMVR,1937891,G0223V105,,
ALPHAVEST ACQUISITION CORP.,ATMVU,1937891,G0223V105,,
ALPINE AUTO BROKERS INC.,ALTB,1642365,128246105,,
"ALPINE INCOME PROPERTY TRUST, INC.",PINE,1786117,02083X103,,
